lifeform_description,humphreys_lifeform
Annual bamboo,annual
Bamboo,woody perennial
Biennial,herbaceous perennial
Biennial or chamaephyte,woody perennial
Biennial or hemicryptophyte,herbaceous perennial
Biennial or nanophanerophyte,woody perennial
Bulbous geophyte,herbaceous perennial
Bulbous geophyte or epiphyte,herbaceous perennial
Bulbous geophyte or helophyte,herbaceous perennial
Bulbous hydrogeophyte,herbaceous perennial
Caudex chamaephyte,woody perennial
Caudex chamaephyte or nanophanerophyte,woody perennial
Caudex geophyte,herbaceous perennial
Caudex nanophanerophyte,woody perennial
Caudex nanophanerophyte or phanerophyte,woody perennial
Caudex pachycaul nanophanerophyte,woody perennial
Caudex phanerophyte,woody perennial
Chamaephyte,woody perennial
Chamaephyte or climbing nanophanerophyte,woody perennial
Chamaephyte or epiphyte,woody perennial
Chamaephyte or helophyte,herbaceous perennial
Chamaephyte or hemicryptophyte,woody perennial
Chamaephyte or lithophyte,woody perennial
Chamaephyte or nanophanerophyte,woody perennial
Chamaephyte or phanerophyte,woody perennial
Chamaephyte or rhizomatous chamaephyte,woody perennial
Chamaephyte or rhizomatous geophyte,woody perennial
Chamaephyte or tuberous geophyte,woody perennial
"Chamaephyte, nanophanerophyte or phanerophyte",woody perennial
Climber,woody perennial
Climbing bamboo,woody perennial
Climbing bulbous geophyte,herbaceous perennial
Climbing caudex geophyte,herbaceous perennial
Climbing caudex phanerophyte,woody perennial
Climbing chamaephyte,woody perennial
Climbing chamaephyte or climbing nanophanerophyte,woody perennial
Climbing chamaephyte or epiphyte,woody perennial
Climbing chamaephyte or nanophanerophyte,woody perennial
Climbing chamaephyte or phanerophyte,woody perennial
Climbing epiphyte,epiphyte
Climbing epiphyte or lithophyte,epiphyte
Climbing helophyte,herbaceous perennial
Climbing hemicryptophyte,herbaceous perennial
Climbing hemicryptophyte or chamaephyte,woody perennial
Climbing hemicryptophyte or climbing chamaerophyte,woody perennial
Climbing hemicryptophyte or herbaceous phanerophyt,woody perennial
Climbing hemicryptophyte or nanophanerophyte,woody perennial
Climbing hemiparasite,woody perennial
Climbing herbaceous phanerophyte,herbaceous perennial
Climbing herbaceous phanerophyte or liana,herbaceous perennial
Climbing holomycotroph,herbaceous perennial
Climbing holoparasite,herbaceous perennial
Climbing lithophyte,herbaceous perennial
Climbing nanophanerophyte,woody perennial
Climbing nanophanerophyte or liana,woody perennial
Climbing nanophanerophyte or phanerophyte,woody perennial
Climbing rhizomatous geophyte,herbaceous perennial
Climbing succulent,herbaceous perennial
Climbing therophyte,annual
Climbing therophyte or biennial,annual
Climbing therophyte or hemicryptophyte,annual
Climbing tuberous geophyte,herbaceous perennial
"Climbing, sometimes tuberous nanophanerophyte",woody perennial
Epiphyte,epiphyte
Epiphyte or chamaephyte,epiphyte
Epiphyte or hemicryptophyte,epiphyte
Epiphyte or lithophyte,epiphyte
